Wall time,Step,Value
1649759723.127808,1792,0.08001532405614853
1649759811.3887393,1797,0.1053839847445488
1649759988.22608,1807,0.11291491240262985
1649760263.5667167,1818,0.09686871618032455
1649760533.4335983,1829,0.08502883464097977
1649760621.4860852,1834,0.102384053170681
1649760714.7885706,1839,0.09984505921602249
1649760808.4699745,1840,0.09136728197336197
1649760900.9752467,1845,0.09397067129611969
1649761078.2195594,1855,0.09507085382938385
1649761170.6178617,1856,0.07282096147537231
1649761268.027683,1861,0.09869445115327835
1649761362.4067075,1866,0.09667391330003738
1649761448.58713,1871,0.0889231413602829
1649761545.9094396,1872,0.09633929282426834
1649761636.5568671,1877,0.08761738985776901
1649761811.889463,1887,0.08502576500177383
1649761998.4460897,1893,0.09264890104532242
1649762085.7257648,1898,0.08371593803167343
1649762359.552348,1909,0.087129145860672
1649762452.8626044,1914,0.08492647856473923
1649762823.9090166,1930,0.08213390409946442
1649763095.3376577,1941,0.08477354049682617
1649763191.9779098,1946,0.08854212611913681
1649763368.7627523,1952,0.061589956283569336
1649763460.6108892,1957,0.0859830230474472
1649763639.0396547,1967,0.08123397827148438
1649763829.3744683,1973,0.08253800123929977
1649764094.9161892,1984,0.08455126732587814
1649764182.2350047,1989,0.09205798804759979
1649764759.4821107,2015,0.07687272876501083
1649765045.5234094,2026,0.08898769319057465
1649765142.231311,2031,0.08511756360530853
1649765239.9601123,2032,0.06914985179901123
1649765431.8247802,2042,0.09070617705583572
1649765520.949269,2047,0.07386196404695511
1649765617.909997,2048,0.07737190276384354
1649765808.4995823,2058,0.08179304748773575
1649765897.7758534,2063,0.07125674188137054
1649765997.34017,2064,0.09095645695924759
1649766092.3479958,2069,0.08103184401988983
1649766187.426583,2074,0.07404538989067078
1649766278.25672,2079,0.07334104925394058
1649766375.4700599,2080,0.07809191197156906
1649766768.322822,2096,0.08553626388311386
1649766865.9096503,2101,0.08576077222824097
1649767427.2112553,2127,0.0758950412273407
1649767617.5967765,2133,0.07266910374164581
1649767713.6783655,2138,0.08242214471101761
1649767804.494474,2143,0.07077079266309738
1649767911.4489563,2144,0.08397921919822693
1649768003.1741884,2149,0.07727454602718353
1649768098.416822,2154,0.07893621921539307
1649768185.6617498,2159,0.06756698340177536
1649768283.4773605,2160,0.10105457156896591
1649768377.5756147,2165,0.06696189194917679
1649768480.0428612,2170,0.0785350352525711
1649768575.6835413,2175,0.06857569515705109
1649768673.5240502,2176,0.040055178105831146
1649768863.3467677,2186,0.07475165277719498
1649768956.040566,2191,0.07505796104669571
1649769063.5401742,2192,0.10807984322309494
1649769165.6998577,2197,0.06896992027759552
1649769343.5923333,2207,0.07984009385108948
1649769440.847024,2208,0.04867510125041008
1649769538.5584373,2213,0.0792427584528923
1649769724.684273,2223,0.07297281920909882
1649769919.1021445,2229,0.07282278686761856
1649770100.4105053,2239,0.07642368972301483
1649770198.3324172,2240,0.0699414387345314
1649770485.516011,2255,0.0657465010881424
1649770577.2493699,2256,0.08895085006952286
1649770683.1318314,2261,0.06788056343793869
1649770865.4915562,2271,0.06597794592380524
1649770967.4091394,2272,0.0789550319314003
1649771062.7775013,2277,0.07321949303150177
1649771246.208345,2287,0.07267332077026367
1649771442.083138,2293,0.06388088315725327
1649771543.535486,2298,0.06337104737758636
1649771737.7757497,2304,0.06983860582113266
1649771835.2719193,2309,0.06011194363236427
1649771932.6481662,2314,0.06273092329502106
1649772016.0259073,2319,0.0689866691827774
1649772117.3845131,2320,0.047131139785051346
1649772214.9631896,2325,0.0671643614768982
1649772304.9682324,2330,0.06861667335033417
1649772394.6068418,2335,0.06198929622769356
1649772489.1603742,2336,0.05960278585553169
1649772691.5167847,2346,0.06620058417320251
1649772780.314742,2351,0.06494825333356857
